prevalence,calibration,fp_cost_regime,capacity,comparison,left_policy,right_policy,n_seeds,df,mean_paired_delta,sd_paired_delta,se_paired_delta,t_crit,ci95_low,ci95_high,interval_method,zero_status,ref_mean_cost_right,practical_band_abs,mean_abs_within_1pct_band,ci_within_1pct_practical_band,practical_band_note
baseline,temperature_T2.5,high,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,19597.976000000013,9611.8577081346,3039.536290315128,2.2621571627409915,12722.067209452463,26473.884790547563,student_t_df_n_minus_1,excludes_0_positive,624870.208,6248.70208,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,high,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,23263.408000000007,13362.431518287729,4225.571867581112,2.2621571627409915,13704.500333074566,32822.315666925446,student_t_df_n_minus_1,excludes_0_positive,636173.3910000001,6361.733910000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,high,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,17224.588,7210.026016374378,2280.0104200813507,2.2621571627409915,12066.846097088875,22382.329902911122,student_t_df_n_minus_1,excludes_0_positive,688977.837,6889.778370000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,high,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,48346.85599999999,8992.811483217765,2843.7766855485206,2.2621571627409915,41913.78620155057,54779.92579844942,student_t_df_n_minus_1,excludes_0_positive,907534.517,9075.34517,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,high,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,173868.08500000002,11275.053449551742,3565.4849640721895,2.2621571627409915,165802.3976498788,181933.77235012123,student_t_df_n_minus_1,excludes_0_positive,1334876.215,13348.76215,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,low,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,45561.13199999997,11650.853216753207,3684.323284923956,2.2621571627409915,37226.61369115582,53895.65030884412,student_t_df_n_minus_1,excludes_0_positive,588747.404,5887.47404,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,low,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,47369.42499999995,9247.235210156678,2924.232532340091,2.2621571627409915,40754.35143144659,53984.49856855332,student_t_df_n_minus_1,excludes_0_positive,566180.4299999999,5661.8043,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,low,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,61851.29300000002,13211.211247604144,4177.751819206381,2.2621571627409915,52400.561798028095,71302.02420197194,student_t_df_n_minus_1,excludes_0_positive,540505.573,5405.05573,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,low,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,44138.28200000001,15101.731640841574,4775.586859769127,2.2621571627409915,33335.15397888151,54941.4100211185,student_t_df_n_minus_1,excludes_0_positive,551267.1619999999,5512.671619999999,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T2.5,low,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,41929.961999999985,10498.757305796638,3319.998568765027,2.2621571627409915,34419.60345737834,49440.32054262163,student_t_df_n_minus_1,excludes_0_positive,646389.949,6463.899490000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,baseline,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,114503.19700000001,12786.536636820654,4043.4579157542476,2.2621571627409915,105356.25971363479,123650.13428636524,student_t_df_n_minus_1,excludes_0_positive,966771.541,9667.71541,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,baseline,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,145256.85599999997,12566.316832003487,3973.818298844251,2.2621571627409915,136267.45447183822,154246.25752816172,student_t_df_n_minus_1,excludes_0_positive,922535.0619999999,9225.35062,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,baseline,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,174016.67900000003,9159.71933534168,2896.5575827563353,2.2621571627409915,167464.21051687605,180569.14748312402,student_t_df_n_minus_1,excludes_0_positive,861555.53,8615.5553,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,baseline,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,192761.511,19254.29451298098,6088.742540070236,2.2621571627409915,178987.81845089432,206535.20354910567,student_t_df_n_minus_1,excludes_0_positive,822717.677,8227.17677,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,baseline,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,196278.37000000002,12048.245744796182,3809.98983629877,2.2621571627409915,187659.57420184638,204897.16579815367,student_t_df_n_minus_1,excludes_0_positive,917547.0630000001,9175.470630000002,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,high,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,96655.17499999999,13016.835134246769,4116.284695112342,2.2621571627409915,87343.49209307048,105966.8579069295,student_t_df_n_minus_1,excludes_0_positive,994413.8230000001,9944.13823,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,high,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,130761.13699999996,7606.1284494719785,2405.269007613639,2.2621571627409915,125320.04048610784,136202.23351389208,student_t_df_n_minus_1,excludes_0_positive,957550.8379999999,9575.50838,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,high,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,156216.178,10014.462141041426,3166.8509907217294,2.2621571627409915,149052.26334800545,163380.09265199458,student_t_df_n_minus_1,excludes_0_positive,946920.1110000001,9469.201110000002,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,high,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,189535.25699999998,15307.213318439151,4840.565871633201,2.2621571627409915,178585.13624176534,200485.37775823462,student_t_df_n_minus_1,excludes_0_positive,1033771.371,10337.71371,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,high,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,271528.128,11349.441955077,3589.0086749917728,2.2621571627409915,263409.22631872783,279647.0296812722,student_t_df_n_minus_1,excludes_0_positive,1331655.997,13316.55997,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,low,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,122204.12999999998,15299.74487377124,4838.204142060247,2.2621571627409915,111259.35184523526,133148.9081547647,student_t_df_n_minus_1,excludes_0_positive,961634.2469999999,9616.34247,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,low,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,150517.15599999996,11157.576131361917,3528.3353741833716,2.2621571627409915,142535.50686073862,158498.8051392613,student_t_df_n_minus_1,excludes_0_positive,906104.521,9061.04521,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,low,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,183341.982,11083.804990893288,3505.006891236463,2.2621571627409915,175413.10555553288,191270.8584444671,student_t_df_n_minus_1,excludes_0_positive,826058.14,8260.581400000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,low,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,205870.449,16495.01297000631,5216.181101923862,2.2621571627409915,194070.62755812873,217670.27044187125,student_t_df_n_minus_1,excludes_0_positive,739947.403,7399.47403,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,calibrated_by_construction_T1.0,low,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,199380.338,7140.692261465354,2258.085161656911,2.2621571627409915,194272.19447747865,204488.48152252132,student_t_df_n_minus_1,excludes_0_positive,758765.826,7587.65826,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,baseline,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,114088.448,12415.297666279654,3926.0618454416763,2.2621571627409915,105207.07907497,122969.81692503001,student_t_df_n_minus_1,excludes_0_positive,978685.543,9786.85543,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,baseline,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,131527.729,18254.394111372163,5772.54626983014,2.2621571627409915,118469.32210844995,144586.13589155005,student_t_df_n_minus_1,excludes_0_positive,927934.924,9279.34924,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,baseline,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,162082.532,15138.276664669005,4787.143411013108,2.2621571627409915,151253.26124370837,172911.80275629164,student_t_df_n_minus_1,excludes_0_positive,876287.589,8762.875890000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,baseline,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,168127.04200000002,25672.522211670337,8118.3643470141615,2.2621571627409915,149762.02594266084,186492.0580573392,student_t_df_n_minus_1,excludes_0_positive,838040.594,8380.40594,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,baseline,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,164490.85599999997,19138.844777658775,6052.234128182059,2.2621571627409915,150799.75121634745,178181.9607836525,student_t_df_n_minus_1,excludes_0_positive,943776.777,9437.76777,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,high,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,95596.807,19172.336877559937,6062.825260113017,2.2621571627409915,81881.74341138832,109311.87058861168,student_t_df_n_minus_1,excludes_0_positive,1002705.951,10027.059510000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,high,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,113142.61200000001,18782.631444495437,5939.589581610406,2.2621571627409915,99706.32688421826,126578.89711578176,student_t_df_n_minus_1,excludes_0_positive,963594.354,9635.94354,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,high,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,128769.356,6956.156426004861,2199.7298066591884,2.2621571627409915,123793.22146177106,133745.49053822894,student_t_df_n_minus_1,excludes_0_positive,957398.701,9573.98701,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,high,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,155686.696,15629.01122030737,4942.327303249893,2.2621571627409915,144506.37489034288,166867.0171096571,student_t_df_n_minus_1,excludes_0_positive,1054212.542,10542.125419999998,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,high,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,234066.34500000003,19957.745634516767,6311.193316735536,2.2621571627409915,219789.43383310366,248343.2561668964,student_t_df_n_minus_1,excludes_0_positive,1377828.4849999999,13778.284849999998,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,low,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,107802.66900000004,13881.848679692323,4389.825996162894,2.2621571627409915,97872.19267959354,117733.14532040653,student_t_df_n_minus_1,excludes_0_positive,968668.4290000001,9686.684290000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,low,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,139339.82,10649.67631124689,3367.7233487080434,2.2621571627409915,131721.50050459002,146958.13949541,student_t_df_n_minus_1,excludes_0_positive,907322.303,9073.22303,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,low,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,175912.48500000002,14820.501944055026,4686.6542210167245,2.2621571627409915,165310.53658463672,186514.4334153633,student_t_df_n_minus_1,excludes_0_positive,840841.3399999999,8408.4134,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,low,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,189677.61500000002,14215.888509482995,4495.458665298243,2.2621571627409915,179508.18098048953,199847.0490195105,student_t_df_n_minus_1,excludes_0_positive,768234.732,7682.34732,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T1.5,low,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,174415.678,21283.281008580856,6730.364406852117,2.2621571627409915,159190.53594918246,189640.82005081757,student_t_df_n_minus_1,excludes_0_positive,774083.749,7740.83749,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T2.5,baseline,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,82933.04899999998,10653.353218479006,3368.886088867906,2.2621571627409915,75312.09920360896,90553.99879639101,student_t_df_n_minus_1,excludes_0_positive,1002911.9349999998,10029.119349999999,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T2.5,baseline,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,101043.178,14074.782873113327,4450.837145136678,2.2621571627409915,90974.6848719354,111111.6711280646,student_t_df_n_minus_1,excludes_0_positive,965690.322,9656.90322,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T2.5,baseline,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,110619.138,13984.349522512503,4422.239608702763,2.2621571627409915,100615.33699381613,120622.93900618388,student_t_df_n_minus_1,excludes_0_positive,922383.7640000001,9223.837640000002,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T2.5,baseline,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,96651.388,13615.116261018107,4305.477799281279,2.2621571627409915,86911.72055733354,106391.05544266647,student_t_df_n_minus_1,excludes_0_positive,912627.0179999999,9126.27018,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
high,temperature_T2.5,baseline,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,81965.22299999998,13363.976975209665,4226.0605839710115,2.2621571627409915,72405.20977979258,91525.23622020739,student_t_df_n_minus_1,excludes_0_positive,1028993.2640000001,10289.93264,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
