policy,same_predictions,review_volume,precision_among_reviewed,fraud_dollars_captured,fraud_loss_remaining,fp_intervention_cost,review_cost,total_system_cost,capacity_utilization,prevalence,calibration,fp_cost_regime,capacity
D_cost_aware,Yes,2000,0.091,72309.04,285065.93,76694.91,50000.0,411760.84,1.0,low,severe_distortion,baseline,2000
D_cost_aware,Yes,5000,0.0946,126855.32,242777.07,186803.11,125000.0,554580.18,1.0,low,severe_distortion,baseline,5000
D_cost_aware,Yes,10000,0.0779,149466.94,214807.92,362294.18,250000.0,827102.1,1.0,low,severe_distortion,baseline,10000
D_cost_aware,Yes,500,0.104,31579.07,335813.63,56111.71,12500.0,404425.34,1.0,low,severe_distortion,high,500
D_cost_aware,Yes,1000,0.12,49418.53,295494.1,107032.81,25000.0,427526.91,1.0,low,severe_distortion,high,1000
D_cost_aware,Yes,2000,0.101,58968.26,294013.86,219787.3,50000.0,563801.15,1.0,low,severe_distortion,high,2000
D_cost_aware,Yes,5000,0.1042,106420.32,240480.82,523760.38,125000.0,889241.2,1.0,low,severe_distortion,high,5000
D_cost_aware,Yes,10000,0.0829,147648.25,219493.18,962753.96,250000.0,1432247.14,1.0,low,severe_distortion,high,10000
D_cost_aware,Yes,500,0.106,33349.22,324852.88,7007.44,12500.0,344360.32,1.0,low,severe_distortion,low,500
D_cost_aware,Yes,1000,0.101,55117.59,307853.83,14375.59,25000.0,347229.42,1.0,low,severe_distortion,low,1000
D_cost_aware,Yes,2000,0.0975,73245.92,283633.6,29163.1,50000.0,362796.7,1.0,low,severe_distortion,low,2000
C_expected_exposure,Yes,5000,0.0908,134817.9,228814.17,73393.8,125000.0,427207.97,1.0,low,severe_distortion,low,5000
D_cost_aware,Yes,10000,0.0799,164589.97,198652.18,142337.62,250000.0,590989.8,1.0,low,severe_distortion,low,10000
