prevalence,calibration,fp_cost_regime,capacity,best_policy,best_mean_cost,near_equivalent_policies,seed_win_rate_of_best,status
high,temperature_T2.5,baseline,1000,D1_cost_aware_topk,965690.322,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T2.5,baseline,2000,D1_cost_aware_topk,922383.7640000001,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T2.5,baseline,5000,D1_cost_aware_topk,912627.0179999999,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T2.5,baseline,10000,D1_cost_aware_topk,1028993.2640000001,"A_fixed_threshold_fifo,D1_cost_aware_topk,D2_cost_aware_abstention",0.6,near_equivalent_unstable
high,temperature_T2.5,high,500,D1_cost_aware_topk,1019709.335,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T2.5,high,1000,D1_cost_aware_topk,1010963.7880000001,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T2.5,high,2000,D1_cost_aware_topk,1022895.436,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T2.5,high,5000,A_fixed_threshold_fifo,1096469.01,A_fixed_threshold_fifo,1.0,clear_winner
high,temperature_T2.5,high,10000,A_fixed_threshold_fifo,1096011.26,A_fixed_threshold_fifo,1.0,clear_winner
high,temperature_T2.5,low,500,D1_cost_aware_topk,994596.793,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.8,near_equivalent
high,temperature_T2.5,low,1000,D1_cost_aware_topk,950095.3929999999,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
high,temperature_T2.5,low,2000,D1_cost_aware_topk,880969.091,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
high,temperature_T2.5,low,5000,D1_cost_aware_topk,824458.401,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
high,temperature_T2.5,low,10000,D1_cost_aware_topk,849486.901,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
low,calibrated_by_construction_T1.0,baseline,500,D1_cost_aware_topk,326391.96499999997,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.8,near_equivalent
low,calibrated_by_construction_T1.0,baseline,1000,D1_cost_aware_topk,317880.539,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.4,near_equivalent_unstable
low,calibrated_by_construction_T1.0,baseline,2000,D2_cost_aware_abstention,322914.556,D2_cost_aware_abstention,1.0,clear_winner
low,calibrated_by_construction_T1.0,baseline,5000,D2_cost_aware_abstention,317908.591,D2_cost_aware_abstention,1.0,clear_winner
low,calibrated_by_construction_T1.0,baseline,10000,D2_cost_aware_abstention,318448.691,D2_cost_aware_abstention,1.0,clear_winner
low,calibrated_by_construction_T1.0,high,500,D2_cost_aware_abstention,343405.478,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
low,calibrated_by_construction_T1.0,high,1000,D2_cost_aware_abstention,347578.00800000003,D2_cost_aware_abstention,1.0,clear_winner
low,calibrated_by_construction_T1.0,high,2000,D2_cost_aware_abstention,342197.042,D2_cost_aware_abstention,1.0,clear_winner
low,calibrated_by_construction_T1.0,high,5000,D2_cost_aware_abstention,340671.99100000004,D2_cost_aware_abstention,1.0,clear_winner
low,calibrated_by_construction_T1.0,high,10000,D2_cost_aware_abstention,343945.621,D2_cost_aware_abstention,1.0,clear_winner
low,calibrated_by_construction_T1.0,low,500,D1_cost_aware_topk,313917.002,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
low,calibrated_by_construction_T1.0,low,1000,D1_cost_aware_topk,305991.41000000003,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.6,near_equivalent_unstable
low,calibrated_by_construction_T1.0,low,2000,D2_cost_aware_abstention,306208.056,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.3,near_equivalent_unstable
low,calibrated_by_construction_T1.0,low,5000,D2_cost_aware_abstention,303146.945,D2_cost_aware_abstention,1.0,clear_winner
low,calibrated_by_construction_T1.0,low,10000,D2_cost_aware_abstention,300189.423,D2_cost_aware_abstention,1.0,clear_winner
low,temperature_T1.5,baseline,500,D1_cost_aware_topk,331688.15099999995,"D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
low,temperature_T1.5,baseline,1000,D1_cost_aware_topk,333893.929,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
