condition,policy_label,delta_name,ref_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,ref_mean_cost,practical_band_abs,ci_within_1pct_practical_band,mean_cost
FP_COST_NOISE_LOW,D2_estimated,vs_C,C_expected_exposure,20,19,-6703.038499999995,3158.376285142466,706.2344072101812,-8181.204102341665,-5224.872897658325,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,576567.666
FP_COST_NOISE_HIGH,B_topk_probability,vs_d1_oracle,D1_oracle,20,19,77954.3205,9486.918746113663,2121.3395213327217,73514.30585428371,82394.3351457163,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,655775.2145
FP_COST_NOISE_HIGH,B_topk_probability,vs_C,C_expected_exposure,20,19,72504.51000000001,9826.294665816431,2197.226283970912,67905.66253467082,77103.3574653292,excludes_0_positive,2.093024054408263,583270.7045,5832.707045,False,655775.2145
FP_COST_NOISE_HIGH,C_expected_exposure,vs_d1_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,583270.7045
FP_COST_NOISE_HIGH,C_expected_exposure,vs_B,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,583270.7045
FP_COST_NOISE_HIGH,D1_oracle,vs_B,B_topk_probability,20,19,-77954.3205,9486.918746113663,2121.3395213327217,-82394.3351457163,-73514.30585428371,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,577820.8940000001
FP_COST_NOISE_HIGH,D1_oracle,vs_C,C_expected_exposure,20,19,-5449.810499999992,2586.76840745456,578.419000111727,-6660.455380760613,-4239.165619239372,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,577820.8940000001
FP_COST_NOISE_HIGH,D2_oracle,vs_d1_oracle,D1_oracle,20,19,-1926.8000000000116,1928.5502234798505,431.23693977233563,-2829.3892880929175,-1024.2107119071056,excludes_0_negative,2.093024054408263,577820.8940000001,5778.208940000001,True,575894.0939999999
FP_COST_NOISE_HIGH,D2_oracle,vs_B,B_topk_probability,20,19,-79881.1205,9320.67747429534,2084.1668428875428,-84243.33183556376,-75518.90916443625,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,575894.0939999999
FP_COST_NOISE_HIGH,D2_oracle,vs_C,C_expected_exposure,20,19,-7376.610500000004,3006.5568287319174,672.286544726076,-8783.722409566697,-5969.498590433311,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,575894.0939999999
FP_COST_NOISE_HIGH,D1_estimated,vs_d1_oracle,D1_oracle,20,19,5602.277499999985,2703.4626514525044,604.512626327962,4337.0180319020465,6867.536968097923,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,583423.1714999999
FP_COST_NOISE_HIGH,D1_estimated,vs_B,B_topk_probability,20,19,-72352.043,10077.652414489403,2253.431585241319,-77068.52951287343,-67635.55648712658,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,583423.1714999999
FP_COST_NOISE_HIGH,D1_estimated,vs_C,C_expected_exposure,20,19,152.46699999999254,3199.50932482188,715.4320344946178,-1344.9494574914847,1649.88345749147,includes_0,2.093024054408263,583270.7045,5832.707045,True,583423.1714999999
FP_COST_NOISE_HIGH,D2_estimated,vs_d1_oracle,D1_oracle,20,19,1341.7969999999855,3392.9766829377036,758.6926509120456,-246.16496826169714,2929.758968261668,includes_0,2.093024054408263,577820.8940000001,5778.208940000001,True,579162.691
FP_COST_NOISE_HIGH,D2_estimated,vs_B,B_topk_probability,20,19,-76612.52350000001,9655.456547083819,2159.0257193074817,-81131.41626459667,-72093.63073540335,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,579162.691
FP_COST_NOISE_HIGH,D2_estimated,vs_C,C_expected_exposure,20,19,-4108.013500000006,3827.423973986292,855.8380184545736,-5899.303059302531,-2316.7239406974813,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,579162.691
REVIEW_EFFECTIVENESS_OPTIMISM,B_topk_probability,vs_d1_oracle,D1_oracle,20,19,77954.3205,9486.918746113663,2121.3395213327217,73514.30585428371,82394.3351457163,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,655775.2145
REVIEW_EFFECTIVENESS_OPTIMISM,B_topk_probability,vs_C,C_expected_exposure,20,19,72504.51000000001,9826.294665816431,2197.226283970912,67905.66253467082,77103.3574653292,excludes_0_positive,2.093024054408263,583270.7045,5832.707045,False,655775.2145
REVIEW_EFFECTIVENESS_OPTIMISM,C_expected_exposure,vs_d1_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,583270.7045
REVIEW_EFFECTIVENESS_OPTIMISM,C_expected_exposure,vs_B,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,583270.7045
REVIEW_EFFECTIVENESS_OPTIMISM,D1_oracle,vs_B,B_topk_probability,20,19,-77954.3205,9486.918746113663,2121.3395213327217,-82394.3351457163,-73514.30585428371,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,577820.8940000001
REVIEW_EFFECTIVENESS_OPTIMISM,D1_oracle,vs_C,C_expected_exposure,20,19,-5449.810499999992,2586.76840745456,578.419000111727,-6660.455380760613,-4239.165619239372,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,577820.8940000001
REVIEW_EFFECTIVENESS_OPTIMISM,D2_oracle,vs_d1_oracle,D1_oracle,20,19,-1926.8000000000116,1928.5502234798505,431.23693977233563,-2829.3892880929175,-1024.2107119071056,excludes_0_negative,2.093024054408263,577820.8940000001,5778.208940000001,True,575894.0939999999
REVIEW_EFFECTIVENESS_OPTIMISM,D2_oracle,vs_B,B_topk_probability,20,19,-79881.1205,9320.67747429534,2084.1668428875428,-84243.33183556376,-75518.90916443625,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,575894.0939999999
REVIEW_EFFECTIVENESS_OPTIMISM,D2_oracle,vs_C,C_expected_exposure,20,19,-7376.610500000004,3006.5568287319174,672.286544726076,-8783.722409566697,-5969.498590433311,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,575894.0939999999
REVIEW_EFFECTIVENESS_OPTIMISM,D1_estimated,vs_d1_oracle,D1_oracle,20,19,366.12399999999906,1425.2296192447927,318.69103121774987,-300.9039942629261,1033.1519942629243,includes_0,2.093024054408263,577820.8940000001,5778.208940000001,True,578187.0179999999
REVIEW_EFFECTIVENESS_OPTIMISM,D1_estimated,vs_B,B_topk_probability,20,19,-77588.1965,9230.381501404267,2063.976049539651,-81908.14801940904,-73268.24498059097,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,578187.0179999999
REVIEW_EFFECTIVENESS_OPTIMISM,D1_estimated,vs_C,C_expected_exposure,20,19,-5083.686499999993,2591.049667336167,579.3763189241886,-6296.335072062833,-3871.0379279371537,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,578187.0179999999
