prevalence,calibration,fp_cost_regime,capacity,best_policy,best_mean_cost,near_equivalent_policies,seed_win_rate_of_best,status
high,moderate_T1.5,low,500,D_cost_aware,952243.7660000001,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
high,moderate_T1.5,low,1000,D_cost_aware,885865.6120000001,"C_expected_exposure,D_cost_aware",0.6,near_equivalent_unstable
high,moderate_T1.5,low,2000,D_cost_aware,828544.092,"C_expected_exposure,D_cost_aware",0.8,near_equivalent
high,moderate_T1.5,low,5000,D_cost_aware,762413.503,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
high,moderate_T1.5,low,10000,D_cost_aware,776484.834,D_cost_aware,1.0,clear_winner
high,severe_T2.5,baseline,500,D_cost_aware,979068.008,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
high,severe_T2.5,baseline,1000,D_cost_aware,946995.725,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
high,severe_T2.5,baseline,2000,D_cost_aware,907837.466,D_cost_aware,1.0,clear_winner
high,severe_T2.5,baseline,5000,D_cost_aware,906304.9519999999,D_cost_aware,1.0,clear_winner
high,severe_T2.5,baseline,10000,A_fixed_threshold_fifo,1026265.839,"A_fixed_threshold_fifo,D_cost_aware",0.5,near_equivalent_unstable
high,severe_T2.5,high,500,D_cost_aware,1007922.259,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
high,severe_T2.5,high,1000,D_cost_aware,993891.822,D_cost_aware,1.0,clear_winner
high,severe_T2.5,high,2000,D_cost_aware,1008593.968,D_cost_aware,1.0,clear_winner
high,severe_T2.5,high,5000,A_fixed_threshold_fifo,1103754.771,A_fixed_threshold_fifo,1.0,clear_winner
high,severe_T2.5,high,10000,A_fixed_threshold_fifo,1088164.568,A_fixed_threshold_fifo,1.0,clear_winner
high,severe_T2.5,low,500,D_cost_aware,974957.7710000001,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
high,severe_T2.5,low,1000,D_cost_aware,926738.784,"C_expected_exposure,D_cost_aware",0.8,near_equivalent
high,severe_T2.5,low,2000,D_cost_aware,872397.033,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
high,severe_T2.5,low,5000,D_cost_aware,817840.3049999999,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
high,severe_T2.5,low,10000,D_cost_aware,846022.667,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,baseline,500,D_cost_aware,321605.673,"C_expected_exposure,D_cost_aware",0.8,near_equivalent
low,calibrated_T1.0,baseline,1000,D_cost_aware,315772.289,"C_expected_exposure,D_cost_aware",0.8,near_equivalent
low,calibrated_T1.0,baseline,2000,D_cost_aware,314807.73199999996,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,baseline,5000,D_cost_aware,315100.38300000003,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,baseline,10000,D_cost_aware,314212.542,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,high,500,D_cost_aware,333849.822,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,high,1000,D_cost_aware,336752.739,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,high,2000,D_cost_aware,330577.78599999996,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,high,5000,D_cost_aware,331034.015,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,high,10000,D_cost_aware,339715.537,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,low,500,D_cost_aware,306098.702,"C_expected_exposure,D_cost_aware",0.5,near_equivalent_unstable
low,calibrated_T1.0,low,1000,D_cost_aware,296156.627,"C_expected_exposure,D_cost_aware",0.8,near_equivalent
low,calibrated_T1.0,low,2000,D_cost_aware,296098.056,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,low,5000,D_cost_aware,292894.96,D_cost_aware,1.0,clear_winner
low,calibrated_T1.0,low,10000,D_cost_aware,291885.22599999997,D_cost_aware,1.0,clear_winner
low,moderate_T1.5,baseline,500,D_cost_aware,320201.65099999995,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
low,moderate_T1.5,baseline,1000,D_cost_aware,323277.069,D_cost_aware,1.0,clear_winner
low,moderate_T1.5,baseline,2000,D_cost_aware,341301.208,D_cost_aware,0.9,clear_winner
low,moderate_T1.5,baseline,5000,D_cost_aware,343736.671,D_cost_aware,0.5,unstable_across_seeds
low,moderate_T1.5,baseline,10000,D_cost_aware,338972.302,"A_fixed_threshold_fifo,D_cost_aware",0.7,near_equivalent
low,moderate_T1.5,high,500,D_cost_aware,347028.07800000004,D_cost_aware,0.9,clear_winner
low,moderate_T1.5,high,1000,D_cost_aware,350417.779,D_cost_aware,0.8,clear_winner
low,moderate_T1.5,high,2000,D_cost_aware,348032.873,D_cost_aware,0.6,unstable_across_seeds
low,moderate_T1.5,high,5000,D_cost_aware,348993.106,D_cost_aware,0.7,clear_winner
low,moderate_T1.5,high,10000,D_cost_aware,357414.028,D_cost_aware,1.0,clear_winner
low,moderate_T1.5,low,500,C_expected_exposure,312548.969,"C_expected_exposure,D_cost_aware",0.6,near_equivalent_unstable
low,moderate_T1.5,low,1000,D_cost_aware,301274.625,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
low,moderate_T1.5,low,2000,D_cost_aware,305526.929,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
low,moderate_T1.5,low,5000,D_cost_aware,338918.319,D_cost_aware,0.8,clear_winner
low,moderate_T1.5,low,10000,D_cost_aware,340053.706,D_cost_aware,0.5,unstable_across_seeds
low,severe_T2.5,baseline,500,D_cost_aware,335198.375,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
low,severe_T2.5,baseline,1000,D_cost_aware,344301.88200000004,D_cost_aware,0.8,clear_winner
low,severe_T2.5,baseline,2000,A_fixed_threshold_fifo,351130.317,A_fixed_threshold_fifo,0.9,clear_winner
low,severe_T2.5,baseline,5000,A_fixed_threshold_fifo,352573.463,A_fixed_threshold_fifo,1.0,clear_winner
low,severe_T2.5,baseline,10000,A_fixed_threshold_fifo,350028.82399999996,A_fixed_threshold_fifo,1.0,clear_winner
low,severe_T2.5,high,500,A_fixed_threshold_fifo,366478.716,"A_fixed_threshold_fifo,D_cost_aware",0.5,near_equivalent_unstable
low,severe_T2.5,high,1000,A_fixed_threshold_fifo,359505.691,A_fixed_threshold_fifo,1.0,clear_winner
low,severe_T2.5,high,2000,A_fixed_threshold_fifo,357783.527,A_fixed_threshold_fifo,1.0,clear_winner
low,severe_T2.5,high,5000,A_fixed_threshold_fifo,353819.144,A_fixed_threshold_fifo,1.0,clear_winner
low,severe_T2.5,high,10000,A_fixed_threshold_fifo,364637.72000000003,A_fixed_threshold_fifo,1.0,clear_winner
low,severe_T2.5,low,500,D_cost_aware,323364.79500000004,"C_expected_exposure,D_cost_aware",0.8,near_equivalent
low,severe_T2.5,low,1000,D_cost_aware,317003.988,"C_expected_exposure,D_cost_aware",0.7,near_equivalent
low,severe_T2.5,low,2000,D_cost_aware,327174.269,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
low,severe_T2.5,low,5000,A_fixed_threshold_fifo,344140.586,A_fixed_threshold_fifo,1.0,clear_winner
low,severe_T2.5,low,10000,A_fixed_threshold_fifo,344655.354,A_fixed_threshold_fifo,1.0,clear_winner
