review_volume,precision_among_reviewed,fraud_dollars_captured,fraud_loss_remaining,fp_intervention_cost,review_cost,total_system_cost,review_effectiveness,policy_label,base_policy,info_set,deployable,is_oracle_reference,condition,e_true,e_hat,r_true,r_hat,abstention_rate,overlap_with_d1_oracle,spearman_vs_oracle_benefit,capacity_utilization,seed,capacity
2000,0.349,190011.16,477501.83,48768.02,50000.0,576269.85,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,JOINT_MODERATE_MISSPECIFICATION,0.8,0.9,25.0,25.0,,1.0,1.0,1.0,1059,2000
1508,0.3627,169180.61,498332.39,36635.07,37700.0,572667.46,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,JOINT_MODERATE_MISSPECIFICATION,0.8,0.9,25.0,25.0,0.98492,0.754,1.0,0.754,1059,2000
2000,0.328,185235.07,482277.92,51935.75,50000.0,584213.67,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,JOINT_MODERATE_MISSPECIFICATION,0.8,0.9,25.0,25.0,,0.688476,0.83311,1.0,1059,2000
1865,0.3314,179451.53,488061.47,48494.36,46625.0,583180.83,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,JOINT_MODERATE_MISSPECIFICATION,0.8,0.9,25.0,25.0,0.98135,0.684096,0.83311,0.9325,1059,2000
2000,0.484,89631.49,566527.59,45749.82,50000.0,662277.41,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,ORACLE,0.8,0.8,25.0,25.0,,0.246883,1.0,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,ORACLE,0.8,0.8,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,ORACLE,0.8,0.8,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
2000,0.339,180643.51,475515.57,50760.95,50000.0,576276.52,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,ORACLE,0.8,0.8,25.0,25.0,,1.0,1.0,1.0,1076,2000
1536,0.3516,158470.07,497689.01,38762.93,38400.0,574851.94,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,ORACLE,0.8,0.8,25.0,25.0,0.98464,0.768,1.0,0.768,1076,2000
2000,0.339,180643.51,475515.57,50760.95,50000.0,576276.52,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,ORACLE,0.8,0.8,25.0,25.0,,1.0,1.0,1.0,1076,2000
1536,0.3516,158470.07,497689.01,38762.93,38400.0,574851.94,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,ORACLE,0.8,0.8,25.0,25.0,0.98464,0.768,1.0,0.768,1076,2000
2000,0.484,89631.49,566527.59,45749.82,50000.0,662277.41,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,0.246883,1.0,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
2000,0.298,182757.62,473401.46,61645.42,50000.0,585046.88,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,0.668057,0.365974,1.0,1076,2000
2000,0.339,180643.51,475515.57,50760.95,50000.0,576276.52,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,1.0,1.0,1.0,1076,2000
1536,0.3516,158470.07,497689.01,38762.93,38400.0,574851.94,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,0.98464,0.768,1.0,0.768,1076,2000
2000,0.3345,177882.59,478276.49,50764.08,50000.0,579040.56,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,0.802614,0.998277,1.0,1076,2000
1555,0.3479,157163.97,498995.11,39377.97,38875.0,577248.07,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,0.98445,0.724054,0.998277,0.7775,1076,2000
2000,0.484,89631.49,566527.59,45749.82,50000.0,662277.41,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,VALUE_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.246883,1.0,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,VALUE_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
2000,0.295,169787.88,486371.2,61242.86,50000.0,597614.06,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,VALUE_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.53198,0.357839,1.0,1076,2000
2000,0.339,180643.51,475515.57,50760.95,50000.0,576276.52,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,VALUE_NOISE_HIGH,0.8,0.8,25.0,25.0,,1.0,1.0,1.0,1076,2000
1536,0.3516,158470.07,497689.01,38762.93,38400.0,574851.94,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,VALUE_NOISE_HIGH,0.8,0.8,25.0,25.0,0.98464,0.768,1.0,0.768,1076,2000
2000,0.321,167121.21,489037.87,51870.84,50000.0,590908.7,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,VALUE_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.592991,0.990936,1.0,1076,2000
1576,0.3331,147189.66,508969.42,40863.51,39400.0,589232.93,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,VALUE_NOISE_HIGH,0.8,0.8,25.0,25.0,0.98424,0.567046,0.990936,0.788,1076,2000
2000,0.484,89631.49,566527.59,45749.82,50000.0,662277.41,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,FP_COST_NOISE_LOW,0.8,0.8,25.0,25.0,,0.246883,1.0,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,FP_COST_NOISE_LOW,0.8,0.8,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,FP_COST_NOISE_LOW,0.8,0.8,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
2000,0.339,180643.51,475515.57,50760.95,50000.0,576276.52,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,FP_COST_NOISE_LOW,0.8,0.8,25.0,25.0,,1.0,1.0,1.0,1076,2000
1536,0.3516,158470.07,497689.01,38762.93,38400.0,574851.94,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,FP_COST_NOISE_LOW,0.8,0.8,25.0,25.0,0.98464,0.768,1.0,0.768,1076,2000
2000,0.334,179213.98,476945.09,51226.74,50000.0,578171.83,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,FP_COST_NOISE_LOW,0.8,0.8,25.0,25.0,,0.892148,0.910756,1.0,1076,2000
1597,0.3456,162664.14,493494.94,41105.42,39925.0,574525.37,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,FP_COST_NOISE_LOW,0.8,0.8,25.0,25.0,0.98403,0.792227,0.910756,0.7985,1076,2000
2000,0.484,89631.49,566527.59,45749.82,50000.0,662277.41,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,FP_COST_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.246883,1.0,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,FP_COST_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,FP_COST_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
