condition,comparison,left_policy,right_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,paired_interval_method,left_mean_cost,right_mean_cost,relative_pct_of_right_mean,practical_band_abs,practical_class,practical_band_note
FP_COST_NOISE_LOW,delta_D2_est_minus_D1_est,D2_est,D1_est,20,19,-2967.4264999999896,2129.5105098547583,476.1730258835475,-3964.0680972346227,-1970.7849027653563,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,576567.666,579535.0925,-0.5120356883306406,5795.350925000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_LOW,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_LOW,estimation_penalty_D1,D1_est,D1_oracle,20,19,1714.198499999987,1987.1820274217932,444.34740969809803,784.1686829878644,2644.2283170121095,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,579535.0925,577820.8940000001,0.2966660634462946,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_LOW,estimation_penalty_D2,D2_est,D2_oracle,20,19,673.5720000000089,1715.7347823465373,383.6499604687663,-129.41659573389825,1476.560595733916,includes_0,2.093024054408263,student_t_df_n_minus_1,576567.666,575894.0939999999,0.11696108833510785,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_LOW,delta_C_oracle_minus_D1_oracle,C_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,583270.7045,577820.8940000001,0.9431660496513634,5778.208940000001,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,delta_C_est_minus_B,C_est,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,583270.7045,655775.2145,-11.056305330978624,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,delta_D1_est_minus_B,D1_est,B_topk_probability,20,19,-72352.043,10077.652414489403,2253.431585241319,-77068.52951287343,-67635.55648712658,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,583423.1714999999,655775.2145,-11.033055443421308,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,delta_D2_est_minus_B,D2_est,B_topk_probability,20,19,-76612.52350000001,9655.456547083819,2159.0257193074817,-81131.41626459667,-72093.63073540335,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,579162.691,655775.2145,-11.682741556253193,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,delta_D1_est_minus_C_est,D1_est,C_est,20,19,152.46699999999254,3199.50932482188,715.4320344946178,-1344.9494574914847,1649.88345749147,includes_0,2.093024054408263,student_t_df_n_minus_1,583423.1714999999,583270.7045,0.02614000648818675,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,delta_D2_est_minus_C_est,D2_est,C_est,20,19,-4108.013500000006,3827.423973986292,855.8380184545736,-5899.303059302531,-2316.7239406974813,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,579162.691,583270.7045,-0.7043065026764097,5832.707045,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
